Author_ID,Name,Institution,H_Index,Citations,Wikipedia_Title,Honors,Citing_Papers
"https://openalex.org/A5025154104","Jerome R. Busemeyer","Indiana University Bloomington",74,22994,"List of American Academy of Arts and Sciences members (2006–2019)","american academy of arts and sciences","An Expert Guide to Planning Experimental Tasks For Evidence-Accumulation Modeling (2025)"
"https://openalex.org/A5004105173","Gordon D. Logan","Met Office",101,47742,"List of American Academy of Arts and Sciences members (2006–2019)","american academy of arts and sciences","An Expert Guide to Planning Experimental Tasks For Evidence-Accumulation Modeling (2025)"
"https://openalex.org/A5049272593","Michael N. Shadlen","Allen Institute for Brain Science",70,40902,"List of members of the National Academy of Sciences (systems neuroscience)","academy of sciences; national academy","Human Exploration Strategically Balances Approaching and Avoiding Uncertainty (2024)"
"https://openalex.org/A5010339174","Lionel Naccache","Centre National de la Recherche Scientifique",65,22382,"Ghislaine Dehaene-Lambertz","academy of sciences; national academy","How sleeping minds decide: state-specific reconfigurations of lexical decision-making (2025)"
